system:index,date,dewpoint_temperature_2m,potential_evaporation_sum,runoff_sum,surface_pressure,surface_runoff_sum,surface_solar_radiation_downwards_sum,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,.geo
20250101,2025-01-01,291.6141040149482,-0.0210409469988494,0.0010081088923393413,100063.05827838335,0.0,2.1652329177064553E7,299.6477679866971,0.0,-0.9612924410526191,-0.7705132497132205,0.33410222376463355,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250102,2025-01-02,291.82812521735394,-0.01890792211889146,9.692156149341103E-4,100143.31740769907,0.0,2.224788767976921E7,298.681670154627,0.0,-0.09142137677183178,-0.08099294231837578,0.32414547825879897,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250103,2025-01-03,290.9896095201135,-0.019774971741429316,9.318529119398719E-4,100085.6218574268,7.450580596923828E-9,2.187612822430581E7,298.9633600125163,8.52346317969932E-7,-0.44513012431736587,-0.45449490368917955,0.31536635935256396,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250104,2025-01-04,291.3094915870807,-0.019438259372083967,8.960051648117254E-4,100131.64000101661,-7.450580596923828E-9,2.2261747599711508E7,298.5246504049832,6.985758944104564E-11,-0.11747015151629041,-0.22403068226652517,0.30768892228825473,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250105,2025-01-05,292.37139691204857,-0.018034597483302044,8.62580060077582E-4,100153.95037885087,2.510117530134925E-7,2.1691290205553554E7,298.47641308896027,3.809621037019963E-5,-0.06181354857448318,-0.057878246400803114,0.3013787294239476,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250106,2025-01-06,291.83715206265015,-0.019556057553105605,8.30037391039597E-4,100131.20289145382,5.848154968360768E-8,2.166179546916697E7,299.05972988804115,8.556818786618875E-6,0.15153319549927385,-0.13743314653910876,0.2960372322496134,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250107,2025-01-07,292.720284908032,-0.01800766063594148,7.991615482671485E-4,100102.0948974228,1.437064653865018E-7,2.1257769089794446E7,299.1034621162934,2.2586594501360294E-5,0.1064831022603507,0.19186436950852348,0.2911427028191493,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250108,2025-01-08,293.46635290641797,-0.0155498417966898,7.714037425759637E-4,100085.09011486087,8.497436877153344E-7,1.8144469285250634E7,299.0753662603694,1.3291223768460182E-4,-0.059633663575055174,0.1226889614102244,0.28807825342309723,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250109,2025-01-09,292.96687507125,-0.018472977376214186,7.443985906139077E-4,100159.92753088048,1.3399894728455955E-6,2.01386757064551E7,299.4529039731664,2.1006470009432E-4,0.16841536943034666,-0.18827784037071293,0.28604628263377907,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250110,2025-01-10,292.55917783316005,-0.020974235664925508,7.157714958875308E-4,100216.42756985374,2.6731275282652424E-8,2.0598404369275153E7,300.3588689970761,4.17945131630896E-6,0.024795667356217563,-0.4327128871528415,0.2823178957024221,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250111,2025-01-11,294.0042143158077,-0.019355337538854163,6.90860494439283E-4,100249.55101626363,1.2457059085734521E-6,2.021248583772088E7,300.3448327439725,2.0856346093227994E-4,0.5736059781693685,-0.10333858388650158,0.27913547912058406,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250112,2025-01-12,294.7470751185874,-0.01635909529206042,6.944004659871096E-4,100169.84726710414,2.773671138600412E-5,1.7215473695636496E7,300.2355815549499,0.0034009866897396963,-0.2801428844269859,0.047378919261882396,0.29648622461688795,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250113,2025-01-13,295.65483057104865,-0.013541499090310776,7.491367971514521E-4,100076.07008341458,1.013847010857011E-4,1.492423718716192E7,299.7681238495656,0.00682217636306732,-0.2756395414480583,-0.12778065158478533,0.33327029120794566,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250114,2025-01-14,295.85983657745214,-0.012498058373322782,7.707617728236434E-4,100192.9712057278,1.3553739142168573E-4,1.6062181876667872E7,299.45210151406405,0.007741143064022961,-0.19721455762615314,0.018140433785834874,0.36010175542857786,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250115,2025-01-15,295.0127926317599,-0.013038316992132664,7.223029548065181E-4,100174.03004898895,1.068847798673504E-4,1.6119780848178865E7,299.62035002228686,0.0035818769296930286,-0.677893325075649,-0.4054905415899637,0.38068368776240935,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250116,2025-01-16,293.4321074703018,-0.01746846549145762,5.969563616641883E-4,100163.27910564766,2.756795425772709E-7,2.0473916914532997E7,300.10114834901594,3.572064815033668E-5,-0.5160362125804382,-0.3850207847963663,0.36097827096987933,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250117,2025-01-17,292.7597213260886,-0.018632609403890006,5.763892475293941E-4,100001.5841305835,3.007906591509639E-8,2.2246757535521097E7,299.74338226212905,4.149905142021551E-6,-0.2443094316590992,-0.13581515325779442,0.34462287761597893,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250118,2025-01-18,293.2916289516504,-0.017725885786274646,6.137138297744403E-4,100019.01241938869,5.670231180933895E-5,2.0329301588171657E7,299.5491280095454,0.005842940422163685,-0.0843963522165351,-0.3068389510976565,0.3504544901352031,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250119,2025-01-19,295.67301716640003,-0.0029633393288840894,7.004722565939139E-4,100097.15575843184,1.557191630326322E-4,5198327.279480707,296.91815468290275,0.012847550603070267,-0.7198118275641135,-1.1102422855553513,0.437936366242075,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250120,2025-01-20,295.89321015302147,-0.01414251700446703,5.444619889255901E-4,100006.8721648697,1.0983313823752227E-5,1.783460534799856E7,299.38905169531375,0.0011588929229766252,-0.03392216491217738,-0.14683735437985868,0.4363256916000745,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250121,2025-01-21,292.9235837803192,-0.017573011006650797,5.247644728114793E-4,99944.73465262595,6.115900300875754E-6,2.0948341151099894E7,299.29167120060345,6.991948191619088E-4,-0.46846141235116795,-0.03811129577630761,0.4117152577109142,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250122,2025-01-22,294.35372594555264,-0.015196797465841731,5.367206905965466E-4,100016.88257455171,3.2807769186007524E-5,1.8029487112152904E7,299.2498606291941,0.0022530789334023037,-0.17431214629837152,0.3217663896930721,0.4001290286614754,"{""type"":""MultiPoint"",""coordinates"":[]}"
20250123,2025-01-23,294.93765771106706,-0.01479821343860212,4.912213383063143E-4,99954.30895419417,1.3985623747615495E-6,1.9206472507753342E7,299.6636865363411,1.829369730946646E-4,-0.19524281494089274,-0.0645410529637741,0.38706091043825613,"{""type"":""MultiPoint"",""coordinates"":[]}"
