system:index,LST_Celsius,date,.geo
2015_01_01,30.02937296330265,2015-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_01_09,29.94909922832079,2015-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_01_17,30.616975862222034,2015-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_01_25,30.846882631275378,2015-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_02_02,31.707830848350113,2015-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_02_10,30.60460516902583,2015-02-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_02_18,33.374853539390756,2015-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_02_26,32.58412403189061,2015-02-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06,32.71487099901617,2015-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_14,33.052176172797715,2015-03-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_22,32.641393590064695,2015-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_30,30.976591920744227,2015-03-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_04_07,31.476330922587806,2015-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_04_15,32.46439993518061,2015-04-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_04_23,31.858071344340715,2015-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_05_01,29.65182599882945,2015-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_05_09,30.565204572900768,2015-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_05_17,29.12230410759446,2015-05-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_05_25,29.92351881956148,2015-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_06_02,26.627004656089184,2015-06-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_06_10,24.349201436203202,2015-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_06_18,24.94122755878425,2015-06-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_06_26,28.40584979755812,2015-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_07_04,25.89932723761467,2015-07-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_07_12,,2015-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_07_20,28.639521947094522,2015-07-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_07_28,27.422229002697065,2015-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_08_05,27.792673446032268,2015-08-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_08_13,28.191975971377417,2015-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_08_21,28.485918702789093,2015-08-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_08_29,27.417057777843524,2015-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_09_06,29.48697712638858,2015-09-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_09_14,27.691926219674087,2015-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_09_22,29.997790347244347,2015-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_09_30,28.908510442291572,2015-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_10_08,30.56683812489581,2015-10-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_10_16,27.308634037107936,2015-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_10_24,31.858422478550438,2015-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_11_01,28.75122341275238,2015-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_11_09,28.724789053492316,2015-11-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
