feature,mean_abs_shap
LST_Celsius,1.2655383
LST_Celsius_lag_1,0.30280775
LST_Celsius_lag_3,0.047036722
LST_7day_mean,0.046216723
LST_Celsius_lag_2,0.04034962
LST_Celsius_lag_5,0.029755255
LST_Celsius_lag_4,0.027081085
NDVI,0.01801
LST_Celsius_lag_6,0.016823037
day_of_year,0.01299886
week_of_year,0.011701305
monsoon,0.011504965
LST_Celsius_lag_7,0.008937472
day,0.008274538
year,0.0056381198
NDVI_lag_1,0.005531647
LST_was_missing,0.005172919
NDVI_lag_4,0.004245303
rainfall_7day_sum,0.003857478
NDVI_lag_7,0.0038439897
surface_pressure_lag_7,0.0037775603
imd_rainfall_mm_lag_7,0.0037536055
NDVI_7day_mean,0.0037314831
u_component_of_wind_10m,0.0034553278
NDVI_lag_5,0.0034382548
temperature_2m_lag_7,0.0034352702
temperature_2m_lag_4,0.0034025481
volumetric_soil_water_layer_1,0.00338964
IMD_MaxTemp_C,0.0033495058
surface_pressure_lag_4,0.0031327638
imd_rainfall_mm_lag_1,0.0029465533
surface_pressure_lag_6,0.0028441832
NDVI_lag_6,0.0027683484
temperature_2m,0.00270836
total_precipitation_sum,0.0026631998
temperature_2m_lag_6,0.002611858
chirps_rainfall_mm_lag_7,0.0026114148
surface_pressure,0.0021920158
chirps_rainfall_mm,0.0020811197
temperature_7day_mean,0.0020711387
IMD_MinTemp_C,0.0020689426
surface_pressure_lag_3,0.0020493502
imd_rainfall_mm_lag_2,0.0020381554
v_component_of_wind_10m,0.0019677375
temperature_2m_lag_3,0.0019014964
NDVI_lag_2,0.0018977938
chirps_rainfall_mm_lag_3,0.0017921198
surface_pressure_lag_2,0.0017298538
chirps_rainfall_mm_lag_2,0.0016985849
surface_pressure_lag_5,0.0016900073
surface_pressure_lag_1,0.0015173248
chirps_rainfall_mm_lag_5,0.0014908086
temperature_2m_lag_2,0.0014465415
imd_rainfall_mm_lag_4,0.0014266457
NDVI_lag_3,0.0014132552
imd_rainfall_mm_lag_3,0.0014014136
chirps_rainfall_mm_lag_4,0.0013960514
imd_rainfall_mm,0.001372748
month,0.0013652364
temperature_2m_lag_5,0.001336999
chirps_rainfall_mm_lag_6,0.0012694753
temperature_2m_lag_1,0.0011456661
NDVI_was_missing,0.0010850293
imd_rainfall_mm_lag_6,0.0010469169
imd_rainfall_mm_lag_5,0.0009955409
chirps_rainfall_mm_lag_1,0.00096164085
rainfall_7day_mean,0.00069128734
