feature,mean_abs_shap
NDVI,0.056408726
NDVI_lag_1,0.013312752
NDVI_lag_2,0.0021446378
NDVI_lag_7,0.0013114612
NDVI_lag_3,0.0009230786
NDVI_lag_6,0.00087908783
NDVI_lag_5,0.00085334614
NDVI_lag_4,0.0008235579
year,0.0005151572
day_of_year,0.00034473863
week_of_year,0.0002699897
NDVI_7day_mean,0.00016556615
temperature_7day_mean,0.00012670155
IMD_MinTemp_C,0.000117971664
surface_pressure,0.00010472777
u_component_of_wind_10m,9.721156e-05
LST_Celsius_lag_7,9.1210284e-05
IMD_MaxTemp_C,8.400362e-05
v_component_of_wind_10m,8.006446e-05
month,7.790773e-05
imd_rainfall_mm_lag_7,7.506131e-05
rainfall_7day_sum,7.434165e-05
surface_pressure_lag_2,6.917077e-05
volumetric_soil_water_layer_1,6.7413595e-05
LST_Celsius_lag_1,6.719221e-05
temperature_2m_lag_6,6.6937755e-05
surface_pressure_lag_6,6.181328e-05
chirps_rainfall_mm_lag_6,6.0785445e-05
day,6.0308565e-05
monsoon,5.9027658e-05
temperature_2m_lag_7,5.7804944e-05
LST_Celsius,5.7117333e-05
chirps_rainfall_mm_lag_7,5.627268e-05
surface_pressure_lag_3,5.5965505e-05
surface_pressure_lag_4,5.5102715e-05
LST_Celsius_lag_2,5.3357675e-05
surface_pressure_lag_7,5.225756e-05
chirps_rainfall_mm,5.0965526e-05
surface_pressure_lag_1,5.013639e-05
temperature_2m,4.9916336e-05
chirps_rainfall_mm_lag_1,4.8166985e-05
total_precipitation_sum,4.53781e-05
surface_pressure_lag_5,4.4119784e-05
temperature_2m_lag_5,4.3804503e-05
NDVI_was_missing,4.2795684e-05
chirps_rainfall_mm_lag_2,3.9888586e-05
temperature_2m_lag_2,3.9495095e-05
LST_Celsius_lag_3,3.8867784e-05
imd_rainfall_mm_lag_1,3.8226455e-05
LST_Celsius_lag_5,3.755286e-05
temperature_2m_lag_1,3.6224104e-05
imd_rainfall_mm_lag_3,3.5912715e-05
imd_rainfall_mm_lag_6,3.26644e-05
imd_rainfall_mm_lag_4,3.2368644e-05
imd_rainfall_mm_lag_2,3.1873242e-05
LST_Celsius_lag_6,3.0841406e-05
chirps_rainfall_mm_lag_4,3.0770992e-05
LST_Celsius_lag_4,2.774894e-05
imd_rainfall_mm,2.6348758e-05
temperature_2m_lag_3,2.4614596e-05
LST_7day_mean,2.3502287e-05
chirps_rainfall_mm_lag_5,2.336317e-05
temperature_2m_lag_4,2.2745351e-05
imd_rainfall_mm_lag_5,2.2176899e-05
chirps_rainfall_mm_lag_3,1.5573094e-05
rainfall_7day_mean,8.429391e-06
LST_was_missing,5.4010297e-06
