feature,mean_abs_shap
surface_pressure,130.84576
surface_pressure_lag_2,11.811278
year,10.267844
surface_pressure_lag_1,10.104568
surface_pressure_lag_3,9.879474
v_component_of_wind_10m,8.130994
temperature_2m,6.4219303
temperature_2m_lag_1,4.524104
u_component_of_wind_10m,2.487002
chirps_rainfall_mm_lag_7,2.3247855
temperature_2m_lag_2,2.287023
imd_rainfall_mm_lag_7,2.2443025
imd_rainfall_mm_lag_4,2.139519
IMD_MaxTemp_C,2.115595
temperature_2m_lag_3,2.105388
chirps_rainfall_mm,2.0435681
day_of_year,1.9902076
NDVI,1.9630656
temperature_2m_lag_6,1.9412643
chirps_rainfall_mm_lag_6,1.8661913
LST_Celsius_lag_7,1.8530726
IMD_MinTemp_C,1.7888724
temperature_2m_lag_5,1.7179738
chirps_rainfall_mm_lag_1,1.71284
surface_pressure_lag_4,1.6381752
chirps_rainfall_mm_lag_2,1.5622573
temperature_2m_lag_4,1.5146407
surface_pressure_lag_5,1.5000018
imd_rainfall_mm_lag_1,1.4635738
imd_rainfall_mm_lag_3,1.4483209
day,1.4056754
volumetric_soil_water_layer_1,1.3629775
LST_Celsius_lag_6,1.3482187
chirps_rainfall_mm_lag_5,1.341865
total_precipitation_sum,1.3393816
rainfall_7day_sum,1.2624295
chirps_rainfall_mm_lag_3,1.2061617
surface_pressure_lag_7,1.2019621
NDVI_lag_2,1.1520859
NDVI_lag_1,1.0670761
imd_rainfall_mm,1.0638528
imd_rainfall_mm_lag_5,1.0625316
LST_Celsius_lag_2,1.0406432
imd_rainfall_mm_lag_6,1.0333428
temperature_2m_lag_7,0.9765893
surface_pressure_lag_6,0.9720875
LST_Celsius,0.9651258
imd_rainfall_mm_lag_2,0.95935833
LST_Celsius_lag_3,0.9294871
temperature_7day_mean,0.91637415
chirps_rainfall_mm_lag_4,0.87539846
LST_Celsius_lag_1,0.8179425
LST_Celsius_lag_5,0.7892193
NDVI_lag_7,0.78885883
NDVI_lag_5,0.69065857
week_of_year,0.6602513
NDVI_lag_4,0.57850707
month,0.560984
LST_Celsius_lag_4,0.55160636
NDVI_lag_3,0.5118469
NDVI_7day_mean,0.5004818
NDVI_lag_6,0.4732369
LST_7day_mean,0.30251572
monsoon,0.26921755
rainfall_7day_mean,0.20916893
LST_was_missing,0.11697036
NDVI_was_missing,0.08367004
