feature,mean_abs_shap
total_precipitation_sum,5.988438
chirps_rainfall_mm,2.1355975
u_component_of_wind_10m,0.7626143
imd_rainfall_mm,0.7415739
volumetric_soil_water_layer_1,0.6781053
year,0.40973935
v_component_of_wind_10m,0.32355934
temperature_2m,0.30852422
chirps_rainfall_mm_lag_1,0.2446102
IMD_MinTemp_C,0.22512725
surface_pressure_lag_7,0.18776429
imd_rainfall_mm_lag_1,0.17834161
day_of_year,0.14925092
day,0.14406453
surface_pressure,0.13829733
IMD_MaxTemp_C,0.13499723
imd_rainfall_mm_lag_2,0.13176595
NDVI,0.1285174
chirps_rainfall_mm_lag_4,0.12166195
temperature_2m_lag_1,0.11920125
surface_pressure_lag_2,0.11851152
temperature_2m_lag_2,0.1160791
imd_rainfall_mm_lag_3,0.11602719
temperature_2m_lag_3,0.11291707
surface_pressure_lag_4,0.112322554
temperature_7day_mean,0.108408526
temperature_2m_lag_4,0.10486009
imd_rainfall_mm_lag_4,0.10329161
chirps_rainfall_mm_lag_2,0.10251944
rainfall_7day_sum,0.1017576
LST_Celsius_lag_5,0.09666973
chirps_rainfall_mm_lag_7,0.09503919
chirps_rainfall_mm_lag_5,0.091573745
temperature_2m_lag_7,0.09050178
imd_rainfall_mm_lag_5,0.090234056
LST_Celsius,0.08633194
LST_Celsius_lag_7,0.08630437
temperature_2m_lag_6,0.08598842
surface_pressure_lag_6,0.08494177
NDVI_lag_2,0.0840642
temperature_2m_lag_5,0.08212778
surface_pressure_lag_5,0.0791787
week_of_year,0.07831502
chirps_rainfall_mm_lag_6,0.074853234
imd_rainfall_mm_lag_7,0.07481269
surface_pressure_lag_1,0.07453205
LST_7day_mean,0.07272678
LST_Celsius_lag_4,0.07112781
imd_rainfall_mm_lag_6,0.06571298
NDVI_lag_1,0.06314247
NDVI_lag_7,0.060296062
LST_Celsius_lag_1,0.058146115
LST_Celsius_lag_6,0.055603098
NDVI_lag_6,0.054453522
chirps_rainfall_mm_lag_3,0.050920296
surface_pressure_lag_3,0.048440937
NDVI_7day_mean,0.047871653
NDVI_lag_5,0.0463784
LST_Celsius_lag_3,0.04190867
NDVI_lag_3,0.038497366
LST_Celsius_lag_2,0.03769308
NDVI_lag_4,0.035810214
monsoon,0.02900995
rainfall_7day_mean,0.026396085
month,0.02622189
LST_was_missing,0.018263336
NDVI_was_missing,0.006369215
