feature,mean_abs_shap
temperature_2m,0.6700785
temperature_7day_mean,0.15725046
total_precipitation_sum,0.08224097
surface_pressure,0.07307424
u_component_of_wind_10m,0.072748326
chirps_rainfall_mm,0.06162114
day_of_year,0.045235675
temperature_2m_lag_7,0.040973715
IMD_MinTemp_C,0.03434714
surface_pressure_lag_1,0.031322274
v_component_of_wind_10m,0.030447558
IMD_MaxTemp_C,0.028490914
LST_Celsius,0.027427245
surface_pressure_lag_5,0.022125259
surface_pressure_lag_7,0.020881338
temperature_2m_lag_6,0.02074661
temperature_2m_lag_2,0.019312793
volumetric_soil_water_layer_1,0.017538974
temperature_2m_lag_3,0.016800418
chirps_rainfall_mm_lag_1,0.01657762
NDVI_lag_3,0.016073098
day,0.015698366
NDVI_lag_7,0.015509133
temperature_2m_lag_1,0.0152280005
temperature_2m_lag_4,0.015195027
imd_rainfall_mm,0.015081583
surface_pressure_lag_6,0.014325723
week_of_year,0.014193803
surface_pressure_lag_3,0.013367107
LST_Celsius_lag_6,0.013225258
chirps_rainfall_mm_lag_4,0.013043599
imd_rainfall_mm_lag_5,0.012957819
LST_Celsius_lag_1,0.011888393
chirps_rainfall_mm_lag_3,0.011322523
surface_pressure_lag_2,0.011150317
imd_rainfall_mm_lag_1,0.009796911
NDVI_lag_4,0.009685604
surface_pressure_lag_4,0.009651788
chirps_rainfall_mm_lag_7,0.009510485
year,0.009381687
LST_Celsius_lag_2,0.009333502
temperature_2m_lag_5,0.008904368
imd_rainfall_mm_lag_3,0.008680204
imd_rainfall_mm_lag_7,0.00838176
rainfall_7day_sum,0.008303077
NDVI,0.008216332
NDVI_7day_mean,0.007928596
NDVI_lag_1,0.007844723
NDVI_lag_2,0.007759943
LST_Celsius_lag_7,0.007587408
imd_rainfall_mm_lag_2,0.0075584194
imd_rainfall_mm_lag_4,0.007432516
chirps_rainfall_mm_lag_5,0.0065874187
chirps_rainfall_mm_lag_2,0.006348567
chirps_rainfall_mm_lag_6,0.006271764
LST_Celsius_lag_5,0.0061007296
imd_rainfall_mm_lag_6,0.005812381
NDVI_lag_6,0.0056487992
month,0.005474059
LST_Celsius_lag_4,0.005161956
NDVI_lag_5,0.00488512
LST_Celsius_lag_3,0.0041928603
LST_7day_mean,0.0038684902
LST_was_missing,0.0028733192
rainfall_7day_mean,0.002164587
monsoon,0.00032226124
NDVI_was_missing,0.00028176847
